Produto,Categoria,Preço,Quantidade,Data_Venda
Produto_A,Eletrônicos,1200,5,2023-01-15
Produto_B,Livros,35,20,2023-01-20
Produto_C,Roupas,80,10,2023-01-25
Produto_D,Eletrônicos,800,3,2023-02-01
Produto_E,Alimentos,15,50,2023-02-05
Produto_F,Livros,25,15,2023-02-10
Produto_G,Roupas,120,8,2023-02-15
Produto_H,Eletrônicos,2500,2,2023-02-20
Produto_I,Alimentos,8,100,2023-02-25
Produto_J,Livros,45,12,2023-03-01
Produto_K,Roupas,95,7,2023-03-05
Produto_L,Eletrônicos,1500,4,2023-03-10
Produto_M,Alimentos,12,75,2023-03-15
Produto_N,Livros,30,18,2023-03-20
Produto_O,Roupas,70,11,2023-03-25
Produto_P,Eletrônicos,900,6,2023-04-01
Produto_Q,Alimentos,10,60,2023-04-05
Produto_R,Livros,20,22,2023-04-10
Produto_S,Roupas,110,9,2023-04-15
Produto_T,Eletrônicos,2000,1,2023-04-20
